value_date,narration,amount,type
06/08/2026,NEFT-INV88001-RAZORPAY SETTLEMENT,27762.93,CREDIT
06/08/2026,NEFT-INV88002-RAZORPAY SETTLEMENT,9810.52,CREDIT
08/08/2026,NEFT-INV88004-RAZORPAY SETTLEMENT,40289.31,CREDIT
13/08/2026,NEFT-INV88005-RAZORPAY SETTLEMENT,47000.73,CREDIT
02/08/2026,NEFT-INV88006-RAZORPAY SETTLEMENT,497.79,CREDIT
09/08/2026,NEFT-INV88008-RAZORPAY SETTLEMENT,29655.40,CREDIT
09/08/2026,NEFT-INV88009-RAZORPAY SETTLEMENT,11756.46,CREDIT
08/08/2026,NEFT-INV88010-RAZORPAY SETTLEMENT,6728.42,CREDIT
14/08/2026,NEFT-INV88011-RAZORPAY SETTLEMENT,27475.97,CREDIT
05/08/2026,NEFT-INV88012-RAZORPAY SETTLEMENT,9850.88,CREDIT
20/08/2026,NEFT-INV88013-RAZORPAY SETTLEMENT,43120.53,CREDIT
17/08/2026,NEFT-INV88014-RAZORPAY SETTLEMENT,29383.99,CREDIT
09/08/2026,NEFT-INV88015-RAZORPAY SETTLEMENT,16287.47,CREDIT
05/08/2026,NEFT-INV88016-RAZORPAY SETTLEMENT,3832.15,CREDIT
02/08/2026,NEFT-INV88017-RAZORPAY SETTLEMENT,11633.59,CREDIT
13/08/2026,NEFT-INV88018-RAZORPAY SETTLEMENT,25645.42,CREDIT
16/08/2026,NEFT-INV88020-RAZORPAY SETTLEMENT,39734.35,CREDIT
14/08/2026,NEFT-INV88021-RAZORPAY SETTLEMENT,16395.94,CREDIT
06/08/2026,NEFT-INV88022-RAZORPAY SETTLEMENT,26731.72,CREDIT
02/08/2026,NEFT-INV88023-RAZORPAY SETTLEMENT,19673.20,CREDIT
19/08/2026,NEFT-INV88024-RAZORPAY SETTLEMENT,24963.87,CREDIT
11/08/2026,NEFT-INV88025-RAZORPAY SETTLEMENT,14094.84,CREDIT
04/08/2026,NEFT-INV88026-RAZORPAY SETTLEMENT,38714.37,CREDIT
09/08/2026,NEFT-INV88027-RAZORPAY SETTLEMENT,36754.65,CREDIT
08/08/2026,NEFT-INV88028-RAZORPAY SETTLEMENT,24901.93,CREDIT
08/08/2026,NEFT-INV88028-RAZORPAY SETTLEMENT,24901.93,CREDIT
05/08/2026,NEFT-INV88029-RAZORPAY SETTLEMENT,41988.33,CREDIT
18/08/2026,NEFT-INV88030-RAZORPAY SETTLEMENT,36593.44,CREDIT
17/08/2026,NEFT-INV88031-RAZORPAY SETTLEMENT,27911.74,CREDIT
16/08/2026,NEFT-INV88032-RAZORPAY SETTLEMENT,25977.47,CREDIT
14/08/2026,NEFT-INV88033-RAZORPAY SETTLEMENT,20490.00,CREDIT
18/08/2026,NEFT-INV88034-RAZORPAY SETTLEMENT,1517.20,CREDIT
07/08/2026,NEFT-INV88035-RAZORPAY SETTLEMENT,38188.20,CREDIT
12/08/2026,NEFT-INV88036-RAZORPAY SETTLEMENT,5998.40,CREDIT
03/08/2026,NEFT-INV88037-RAZORPAY SETTLEMENT,28991.51,CREDIT
07/08/2026,NEFT-INV88038-RAZORPAY SETTLEMENT,27777.40,CREDIT
12/08/2026,NEFT-INV88039-RAZORPAY SETTLEMENT,11689.15,CREDIT
15/08/2026,NEFT-INV88040-RAZORPAY SETTLEMENT,43332.37,CREDIT
16/08/2026,NEFT-INV88041-RAZORPAY SETTLEMENT,31346.28,CREDIT
04/08/2026,NEFT-INV88042-RAZORPAY SETTLEMENT,20903.14,CREDIT
01/08/2026,NEFT-INV88043-RAZORPAY SETTLEMENT,24595.29,CREDIT
14/08/2026,NEFT-INV88044-RAZORPAY SETTLEMENT,18079.62,CREDIT
04/08/2026,NEFT-INV88045-RAZORPAY SETTLEMENT,40597.54,CREDIT
01/08/2026,NEFT-INV88046-RAZORPAY SETTLEMENT,35128.43,CREDIT
09/08/2026,NEFT-INV88048-RAZORPAY SETTLEMENT,14839.09,CREDIT
06/08/2026,NEFT-INV88049-RAZORPAY SETTLEMENT,20355.75,CREDIT
04/08/2026,NEFT-INV88050-RAZORPAY SETTLEMENT,28227.90,CREDIT
20/08/2026,NEFT-INV88051-RAZORPAY SETTLEMENT,14250.77,CREDIT
20/08/2026,NEFT-INV88052-RAZORPAY SETTLEMENT,26929.28,CREDIT
10/08/2026,NEFT-INV88053-RAZORPAY SETTLEMENT,12394.89,CREDIT
17/08/2026,NEFT-INV88054-RAZORPAY SETTLEMENT,15827.28,CREDIT
17/08/2026,NEFT-INV88054-RAZORPAY SETTLEMENT,15827.28,CREDIT
01/08/2026,NEFT-INV88055-RAZORPAY SETTLEMENT,33466.32,CREDIT
04/08/2026,NEFT-INV88056-RAZORPAY SETTLEMENT,30378.82,CREDIT
12/08/2026,NEFT-INV88057-RAZORPAY SETTLEMENT,26675.50,CREDIT
10/08/2026,NEFT-INV88058-RAZORPAY SETTLEMENT,35603.23,CREDIT
09/08/2026,NEFT-INV88059-RAZORPAY SETTLEMENT,13336.62,CREDIT
14/08/2026,NEFT-INV88060-RAZORPAY SETTLEMENT,14899.65,CREDIT
04/08/2026,NEFT-INV88061-RAZORPAY SETTLEMENT,31965.23,CREDIT
10/08/2026,NEFT-INV88062-RAZORPAY SETTLEMENT,1279.46,CREDIT
04/08/2026,NEFT-INV88063-RAZORPAY SETTLEMENT,46334.71,CREDIT
01/08/2026,NEFT-INV88064-RAZORPAY SETTLEMENT,20890.84,CREDIT
04/08/2026,NEFT-INV88065-RAZORPAY SETTLEMENT,26624.57,CREDIT
10/08/2026,NEFT-INV88066-RAZORPAY SETTLEMENT,40837.57,CREDIT
02/08/2026,NEFT-INV88067-RAZORPAY SETTLEMENT,26489.59,CREDIT
13/08/2026,NEFT-INV88068-RAZORPAY SETTLEMENT,33268.28,CREDIT
09/08/2026,NEFT-INV88069-RAZORPAY SETTLEMENT,3858.50,CREDIT
19/08/2026,NEFT-INV88070-RAZORPAY SETTLEMENT,1440.02,CREDIT
14/08/2026,NEFT-INV88071-RAZORPAY SETTLEMENT,31132.84,CREDIT
07/08/2026,NEFT-INV88072-RAZORPAY SETTLEMENT,17946.53,CREDIT
18/08/2026,NEFT-INV88073-RAZORPAY SETTLEMENT,1974.62,CREDIT
06/08/2026,NEFT-INV88074-RAZORPAY SETTLEMENT,29760.38,CREDIT
01/08/2026,NEFT-INV88075-RAZORPAY SETTLEMENT,46289.05,CREDIT
01/08/2026,NEFT-INV88076-RAZORPAY SETTLEMENT,4191.27,CREDIT
03/08/2026,NEFT-INV88077-RAZORPAY SETTLEMENT,25175.29,CREDIT
10/08/2026,NEFT-INV88078-RAZORPAY SETTLEMENT,38366.69,CREDIT
14/08/2026,NEFT-INV88079-RAZORPAY SETTLEMENT,1977.00,CREDIT
07/08/2026,NEFT-INV88080-RAZORPAY SETTLEMENT,6954.56,CREDIT
16/08/2026,NEFT-INV88081-RAZORPAY SETTLEMENT,32109.71,CREDIT
17/08/2026,NEFT-INV88082-RAZORPAY SETTLEMENT,5789.83,CREDIT
16/08/2026,NEFT-INV88083-RAZORPAY SETTLEMENT,43489.40,CREDIT
07/08/2026,NEFT-INV88084-RAZORPAY SETTLEMENT,32232.71,CREDIT
15/08/2026,NEFT-INV88085-RAZORPAY SETTLEMENT,12792.96,CREDIT
14/08/2026,NEFT-INV88086-RAZORPAY SETTLEMENT,12328.84,CREDIT
11/08/2026,NEFT-INV88087-RAZORPAY SETTLEMENT,2233.99,CREDIT
08/08/2026,NEFT-INV88088-RAZORPAY SETTLEMENT,35744.40,CREDIT
15/08/2026,NEFT-INV88089-RAZORPAY SETTLEMENT,29471.66,CREDIT
13/08/2026,NEFT-INV88090-RAZORPAY SETTLEMENT,39202.96,CREDIT
19/08/2026,NEFT-INV88091-RAZORPAY SETTLEMENT,24050.63,CREDIT
04/08/2026,NEFT-INV88093-RAZORPAY SETTLEMENT,45832.93,CREDIT
19/08/2026,NEFT-INV88094-RAZORPAY SETTLEMENT,7435.68,CREDIT
08/08/2026,NEFT-INV88095-RAZORPAY SETTLEMENT,22364.80,CREDIT
03/08/2026,NEFT-INV88096-RAZORPAY SETTLEMENT,29619.98,CREDIT
20/08/2026,NEFT-INV88097-RAZORPAY SETTLEMENT,17815.90,CREDIT
13/08/2026,NEFT-INV88098-RAZORPAY SETTLEMENT,28779.86,CREDIT
02/08/2026,NEFT-INV88099-RAZORPAY SETTLEMENT,3726.88,CREDIT
18/08/2026,NEFT-INV88100-RAZORPAY SETTLEMENT,7512.25,CREDIT
01/08/2026,NEFT-INV88101-RAZORPAY SETTLEMENT,37509.54,CREDIT
10/08/2026,NEFT-INV88102-RAZORPAY SETTLEMENT,10272.47,CREDIT
14/08/2026,NEFT-INV88103-RAZORPAY SETTLEMENT,21123.23,CREDIT
08/08/2026,NEFT-INV88104-RAZORPAY SETTLEMENT,21872.92,CREDIT
01/08/2026,NEFT-INV88105-RAZORPAY SETTLEMENT,43643.93,CREDIT
03/08/2026,NEFT-INV88106-RAZORPAY SETTLEMENT,13526.67,CREDIT
02/08/2026,NEFT-INV88107-RAZORPAY SETTLEMENT,31400.71,CREDIT
03/08/2026,NEFT-INV88108-RAZORPAY SETTLEMENT,811.21,CREDIT
06/08/2026,NEFT-INV88109-RAZORPAY SETTLEMENT,16956.45,CREDIT
06/08/2026,NEFT-INV88109-RAZORPAY SETTLEMENT,16956.45,CREDIT
16/08/2026,NEFT-INV88110-RAZORPAY SETTLEMENT,20372.41,CREDIT
08/08/2026,NEFT-INV88111-RAZORPAY SETTLEMENT,34719.10,CREDIT
04/08/2026,NEFT-INV88112-RAZORPAY SETTLEMENT,16298.48,CREDIT
15/08/2026,NEFT-INV88113-RAZORPAY SETTLEMENT,44449.87,CREDIT
03/08/2026,NEFT-INV88114-RAZORPAY SETTLEMENT,4904.60,CREDIT
07/08/2026,NEFT-INV88115-RAZORPAY SETTLEMENT,4570.87,CREDIT
13/08/2026,NEFT-INV88116-RAZORPAY SETTLEMENT,33122.94,CREDIT
19/08/2026,NEFT-INV88117-RAZORPAY SETTLEMENT,31952.25,CREDIT
04/08/2026,NEFT-INV88118-RAZORPAY SETTLEMENT,41001.65,CREDIT
20/08/2026,NEFT-INV88119-RAZORPAY SETTLEMENT,14456.42,CREDIT
