settlement_id,payment_id,order_id,amount,fee,tax,net_amount,utr,settled_at,notes.reference
setl_0001,pay_0001,order_0001,2776293,55526,9995,2710772,UTR0001,2026-08-04,INV-88001
setl_0002,pay_0002,order_0002,981052,19621,3532,957899,UTR0002,2026-08-06,INV-88002
setl_0003,pay_0003,order_0003,2193696,43874,7897,2141925,UTR0003,2026-08-06,INV-88003
setl_0004,pay_0004,order_0004,4028931,80579,14504,3933848,UTR0004,2026-08-08,INV-88004
setl_0006,pay_0006,order_0006,49779,996,179,48604,UTR0006,2026-08-02,inv-88006
setl_0008,pay_0008,order_0008,2965540,59311,10676,2895553,UTR0008,2026-08-09,INV-88008
setl_0009,pay_0009,order_0009,1175646,23513,4232,1147901,UTR0009,2026-08-09,INV-88009
setl_0010,pay_0010,order_0010,672842,13457,2422,656963,UTR0010,2026-08-08,INV-88010
setl_0011,pay_0011,order_0011,2747597,54952,9891,2682754,UTR0011,2026-08-14,INV-88011
setl_0012,pay_0012,order_0012,985088,19702,3546,961840,UTR0012,2026-08-05,INV-88012
setl_0013,pay_0013,order_0013,4312053,86241,15523,4210289,UTR0013,2026-08-20,INV-88013
setl_0014,pay_0014,order_0014,2938399,58768,10578,2869053,UTR0014,2026-08-17,INV-88014
setl_0015,pay_0015,order_0015,1628747,32575,5864,1590308,UTR0015,2026-08-09,INV-88015
setl_0016,pay_0016,order_0016,383215,7664,1380,374171,UTR0016,2026-08-05,INV-88016
setl_0017,pay_0017,order_0017,1163359,23267,4188,1135904,UTR0017,2026-08-02,INV-88017
setl_0018,pay_0018,order_0018,2564542,51291,9232,2504019,UTR0018,2026-08-13,INV-88018
setl_0019,pay_0019,order_0019,1546860,30937,5569,1510354,UTR0019,2026-08-17,INV-88019
setl_0020,pay_0020,order_0020,3973435,79469,14304,3879662,UTR0020,2026-08-16,REF88020
setl_0021,pay_0021,order_0021,1639594,32792,5903,1600899,UTR0021,2026-08-11,INV-88021
setl_0022,pay_0022,order_0022,2673172,53463,9623,2610086,UTR0022,2026-08-06,REF88022
setl_0023,pay_0023,order_0023,1967320,39346,7082,1920892,UTR0023,2026-08-02,INV-88023
setl_0024,pay_0024,order_0024,2496387,49928,8987,2437472,UTR0024,2026-08-19,INV-0088024
setl_0025,pay_0025,order_0025,1409484,28190,5074,1376220,UTR0025,2026-08-11,INV-88025
setl_0026,pay_0026,order_0026,3871437,77429,13937,3780071,UTR0026,2026-08-04,INV-88026
